sol,earth_date,ls,season,min_temp,max_temp,pressure,atmo_opacity,sunrise,sunset
1,2012-08-07,150,"Month 6",,,--,Sunny,05:30,17:22
9,2012-08-15,155,"Month 6",,,--,Sunny,05:28,17:22
10,2012-08-16,155,"Month 6",-75,-16,739,Sunny,05:28,17:22
11,2012-08-17,156,"Month 6",-76,-11,740,Sunny,05:28,17:21
12,2012-08-18,156,"Month 6",-76,-18,741,Sunny,05:28,17:21
13,2012-08-19,157,"Month 6",-74,-15,732,Sunny,05:28,17:21
14,2012-08-20,157,"Month 6",-74,-16,740,Sunny,05:27,17:21
15,2012-08-21,158,"Month 6",-78,-15,740,Sunny,05:27,17:21
16,2012-08-22,158,"Month 6",-77,0,740,Sunny,05:27,17:21
17,2012-08-23,159,"Month 6",-76,-4,742,Sunny,05:27,17:21
18,2012-08-24,160,"Month 6",,,--,Sunny,05:26,17:21
19,2012-08-25,160,"Month 6",,,--,Sunny,05:26,17:21
20,2012-08-26,161,"Month 6",,,--,Sunny,05:26,17:21
21,2012-08-27,161,"Month 6",-74,-3,741,Sunny,05:26,17:21
22,2012-08-28,162,"Month 6",-74,-6,742,Sunny,05:26,17:21
23,2012-08-29,162,"Month 6",-75,-16,741,Sunny,05:25,17:21
24,2012-08-30,163,"Month 6",-75,-7,742,Sunny,05:25,17:21
25,2012-08-31,163,"Month 6",-75,-11,743,Sunny,05:25,17:20
26,2012-09-01,164,"Month 6",-76,-14,745,Sunny,05:25,17:20
27,2012-09-02,164,"Month 6",-75,-15,743,Sunny,05:25,17:20
28,2012-09-03,165,"Month 6",-75,-15,745,Sunny,05:24,17:20
29,2012-09-04,166,"Month 6",-75,-2,747,Sunny,05:24,17:20
30,2012-09-05,166,"Month 6",-74,-3,747,Sunny,05:24,17:20
31,2012-09-06,167,"Month 6",-74,-23,745,Sunny,05:24,17:20
32,2012-09-07,167,"Month 6",,,--,Sunny,05:24,17:20
33,2012-09-08,168,"Month 6",-73,-2,748,Sunny,05:23,17:20
34,2012-09-10,168,"Month 6",-73,1,748,Sunny,05:23,17:20
35,2012-09-11,169,"Month 6",-73,-1,749,Sunny,05:23,17:20
36,2012-09-12,169,"Month 6",-73,-1,750,Sunny,05:23,17:20
37,2012-09-13,170,"Month 6",-73,0,750,Sunny,05:23,17:20
38,2012-09-14,171,"Month 6",-73,-13,750,Sunny,05:22,17:20
39,2012-09-15,171,"Month 6",-75,-8,751,Sunny,05:22,17:20
40,2012-09-16,172,"Month 6",-75,-12,753,Sunny,05:22,17:20
41,2012-09-17,172,"Month 6",-75,-12,753,Sunny,05:22,17:20
42,2012-09-18,173,"Month 6",-75,-7,754,Sunny,05:22,17:20
43,2012-09-19,173,"Month 6",-74,-12,756,Sunny,05:22,17:20
44,2012-09-20,174,"Month 6",-75,-10,757,Sunny,05:21,17:20
45,2012-09-21,175,"Month 6",-74,-9,758,Sunny,05:21,17:20
46,2012-09-22,175,"Month 6",-74,-12,758,Sunny,05:21,17:20
47,2012-09-23,176,"Month 6",-75,-9,758,Sunny,05:21,17:20
48,2012-09-24,176,"Month 6",-75,0,759,Sunny,05:21,17:20
49,2012-09-25,177,"Month 6",-74,-10,761,Sunny,05:21,17:20
50,2012-09-26,177,"Month 6",-72,-10,761,Sunny,05:20,17:20
51,2012-09-27,178,"Month 6",-76,-7,762,Sunny,05:20,17:20
52,2012-09-28,179,"Month 6",-74,-7,762,Sunny,05:20,17:20
53,2012-09-29,179,"Month 6",-71,-5,764,Sunny,05:20,17:20
54,2012-09-30,180,"Month 7",-72,-9,766,Sunny,05:20,17:20
55,2012-10-01,180,"Month 7",-74,-2,766,Sunny,05:20,17:20
56,2012-10-02,181,"Month 7",-73,-4,768,Sunny,05:20,17:20
57,2012-10-03,181,"Month 7",-73,-3,769,Sunny,05:19,17:20
58,2012-10-04,182,"Month 7",-74,-3,769,Sunny,05:19,17:20
59,2012-10-05,183,"Month 7",-76,-1,771,Sunny,05:19,17:20
60,2012-10-06,183,"Month 7",-75,-2,772,Sunny,05:19,17:20
61,2012-10-07,184,"Month 7",-72,-2,772,Sunny,05:19,17:20
62,2012-10-08,184,"Month 7",-72,-1,774,Sunny,05:19,17:20
63,2012-10-09,185,"Month 7",-73,0,775,Sunny,05:19,17:20
64,2012-10-10,186,"Month 7",-74,0,776,Sunny,05:19,17:20
65,2012-10-11,186,"Month 7",-72,-2,777,Sunny,05:19,17:20
66,2012-10-12,187,"Month 7",-73,-2,778,Sunny,05:18,17:21
67,2012-10-13,187,"Month 7",-73,-6,780,Sunny,05:18,17:21
68,2012-10-14,188,"Month 7",-71,-2,781,Sunny,05:18,17:21
69,2012-10-15,189,"Month 7",-73,0,778,Sunny,05:18,17:21
70,2012-10-17,189,"Month 7",-72,-1,783,Sunny,05:18,17:21
71,2012-10-18,190,"Month 7",-71,-2,784,Sunny,05:18,17:21
72,2012-10-19,190,"Month 7",-73,-2,785,Sunny,05:18,17:21
73,2012-10-20,191,"Month 7",-70,0,788,Sunny,05:18,17:21
74,2012-10-21,192,"Month 7",-72,-5,790,Sunny,05:18,17:21
75,2012-10-22,192,"Month 7",-73,-1,791,Sunny,05:18,17:21
76,2012-10-23,193,"Month 7",-73,-1,792,Sunny,05:18,17:22
77,2012-10-24,193,"Month 7",-71,0,792,Sunny,05:18,17:22
78,2012-10-25,194,"Month 7",-71,0,793,Sunny,05:18,17:22
79,2012-10-26,195,"Month 7",-73,-1,795,Sunny,05:18,17:22
80,2012-10-27,195,"Month 7",-70,-3,796,Sunny,05:18,17:22
81,2012-10-28,196,"Month 7",-72,-2,798,Sunny,05:18,17:22
82,2012-10-29,196,"Month 7",-72,0,799,Sunny,05:18,17:22
83,2012-10-30,197,"Month 7",-72,0,801,Sunny,05:18,17:23
84,2012-10-31,198,"Month 7",-70,0,801,Sunny,05:18,17:23
85,2012-11-01,198,"Month 7",-71,-1,805,Sunny,05:18,17:23
86,2012-11-02,199,"Month 7",-71,-4,808,Sunny,05:18,17:23
87,2012-11-03,199,"Month 7",-70,-2,808,Sunny,05:18,17:23
88,2012-11-04,200,"Month 7",-70,-2,811,Sunny,05:18,17:24
89,2012-11-05,201,"Month 7",-73,-1,813,Sunny,05:18,17:24
90,2012-11-06,201,"Month 7",-71,0,813,Sunny,05:18,17:24
91,2012-11-07,202,"Month 7",-74,-1,817,Sunny,05:18,17:24
92,2012-11-08,202,"Month 7",-74,-1,820,Sunny,05:18,17:24
93,2012-11-09,203,"Month 7",-72,-1,819,Sunny,05:18,17:25
94,2012-11-10,204,"Month 7",-70,0,822,Sunny,05:18,17:25
95,2012-11-11,204,"Month 7",-68,0,822,Sunny,05:18,17:25
96,2012-11-12,205,"Month 7",-71,2,826,Sunny,05:18,17:25
97,2012-11-13,206,"Month 7",-68,-3,828,Sunny,05:18,17:26
98,2012-11-14,206,"Month 7",-68,-1,828,Sunny,05:18,17:26
99,2012-11-15,207,"Month 7",-68,-1,829,Sunny,05:19,17:26
100,2012-11-16,207,"Month 7",-66,-1,829,Sunny,05:19,17:26
101,2012-11-17,208,"Month 7",-65,-2,830,Sunny,05:19,17:27
102,2012-11-18,209,"Month 7",-67,-3,833,Sunny,05:19,17:27
103,2012-11-19,209,"Month 7",-66,-3,836,Sunny,05:19,17:27
104,2012-11-20,210,"Month 8",-67,-5,838,Sunny,05:19,17:28
105,2012-11-21,211,"Month 8",-66,-6,839,Sunny,05:19,17:28
106,2012-11-23,211,"Month 8",-66,-8,841,Sunny,05:19,17:28
107,2012-11-24,212,"Month 8",-66,-5,844,Sunny,05:20,17:29
108,2012-11-25,212,"Month 8",-65,-4,845,Sunny,05:20,17:29
109,2012-11-26,213,"Month 8",-64,-3,844,Sunny,05:20,17:29
110,2012-11-27,214,"Month 8",-65,-5,848,Sunny,05:20,17:30
111,2012-11-28,214,"Month 8",-66,-4,849,Sunny,05:20,17:30
112,2012-11-29,215,"Month 8",-65,-8,852,Sunny,05:21,17:30
113,2012-11-30,216,"Month 8",-66,-6,857,Sunny,05:21,17:31
114,2012-12-01,216,"Month 8",-69,-6,857,Sunny,05:21,17:31
115,2012-12-02,217,"Month 8",-66,-8,857,Sunny,05:21,17:31
116,2012-12-03,217,"Month 8",-67,-6,859,Sunny,05:21,17:32
117,2012-12-04,218,"Month 8",-66,-5,861,Sunny,05:22,17:32
118,2012-12-05,219,"Month 8",-65,-6,864,Sunny,05:22,17:33
119,2012-12-06,219,"Month 8",-66,-6,866,Sunny,05:22,17:33
120,2012-12-07,220,"Month 8",-67,-3,867,Sunny,05:22,17:33
121,2012-12-08,221,"Month 8",-66,0,869,Sunny,05:23,17:34
122,2012-12-09,221,"Month 8",-65,-3,869,Sunny,05:23,17:34
123,2012-12-10,222,"Month 8",-66,-10,875,Sunny,05:23,17:35
124,2012-12-11,223,"Month 8",-66,-5,876,Sunny,05:24,17:35
125,2012-12-12,223,"Month 8",-68,-5,880,Sunny,05:24,17:36
126,2012-12-13,224,"Month 8",-66,-4,880,Sunny,05:24,17:36
127,2012-12-14,224,"Month 8",-67,-1,884,Sunny,05:25,17:37
128,2012-12-15,225,"Month 8",-67,-3,883,Sunny,05:25,17:37
129,2012-12-16,226,"Month 8",-65,-2,886,Sunny,05:25,17:37
130,2012-12-17,226,"Month 8",-65,-9,888,Sunny,05:26,17:38
131,2012-12-18,227,"Month 8",-65,-8,889,Sunny,05:26,17:38
132,2012-12-19,228,"Month 8",-65,-6,890,Sunny,05:26,17:39
133,2012-12-20,228,"Month 8",-65,1,891,Sunny,05:27,17:39
134,2012-12-21,229,"Month 8",-67,-1,893,Sunny,05:27,17:40
135,2012-12-22,230,"Month 8",-65,-5,894,Sunny,05:27,17:41
136,2012-12-23,230,"Month 8",-65,-1,897,Sunny,05:28,17:41
137,2012-12-24,231,"Month 8",-64,-1,896,Sunny,05:28,17:42
138,2012-12-25,232,"Month 8",-65,-1,899,Sunny,05:29,17:42
